year,sex,first name,count
01/01/1920 12:00:00 AM,F,MARY,639
01/01/1920 12:00:00 AM,F,MARGARET,238
01/01/1920 12:00:00 AM,F,MARIE,171
01/01/1920 12:00:00 AM,F,DOROTHY,163
01/01/1920 12:00:00 AM,F,ANNIE,158
01/01/1920 12:00:00 AM,F,HELEN,152
01/01/1920 12:00:00 AM,F,JEAN,106
01/01/1920 12:00:00 AM,F,ELIZABETH,105
01/01/1920 12:00:00 AM,F,FLORENCE,94
01/01/1920 12:00:00 AM,F,RUTH,87
01/01/1920 12:00:00 AM,F,CATHERINE,84
01/01/1920 12:00:00 AM,F,DORIS,81
01/01/1920 12:00:00 AM,F,ALICE,78
01/01/1920 12:00:00 AM,F,EDITH,78
01/01/1920 12:00:00 AM,F,MURIEL,67
01/01/1920 12:00:00 AM,F,HAZEL,66
01/01/1920 12:00:00 AM,F,MARJORIE,65
01/01/1920 12:00:00 AM,F,KATHLEEN,63
01/01/1920 12:00:00 AM,F,EVELYN,62
01/01/1920 12:00:00 AM,F,LILLIAN,61
01/01/1921 12:00:00 AM,F,MARY,626
01/01/1921 12:00:00 AM,F,MARGARET,202
01/01/1921 12:00:00 AM,F,DOROTHY,185
01/01/1921 12:00:00 AM,F,MARIE,167
01/01/1921 12:00:00 AM,F,HELEN,146
01/01/1921 12:00:00 AM,F,ANNIE,126
01/01/1921 12:00:00 AM,F,JEAN,107
01/01/1921 12:00:00 AM,F,FLORENCE,106
01/01/1921 12:00:00 AM,F,ELIZABETH,100
01/01/1921 12:00:00 AM,F,MARION,89
01/01/1921 12:00:00 AM,F,CATHERINE,82
01/01/1921 12:00:00 AM,F,DORIS,81
01/01/1921 12:00:00 AM,F,ALICE,80
01/01/1921 12:00:00 AM,F,MILDRED,79
01/01/1921 12:00:00 AM,F,MARJORIE,75
01/01/1921 12:00:00 AM,F,MURIEL,71
01/01/1921 12:00:00 AM,F,LILLIAN,70
01/01/1921 12:00:00 AM,F,RUTH,70
01/01/1921 12:00:00 AM,F,EDITH,68
01/01/1921 12:00:00 AM,F,EVELYN,66
01/01/1922 12:00:00 AM,F,MARY,594
01/01/1922 12:00:00 AM,F,MARGARET,225
01/01/1922 12:00:00 AM,F,MARIE,156
01/01/1922 12:00:00 AM,F,DOROTHY,152
01/01/1922 12:00:00 AM,F,HELEN,138
01/01/1922 12:00:00 AM,F,ANNIE,122
01/01/1922 12:00:00 AM,F,CATHERINE,100
01/01/1922 12:00:00 AM,F,ELIZABETH,97
01/01/1922 12:00:00 AM,F,DORIS,96
01/01/1922 12:00:00 AM,F,RUTH,95
01/01/1922 12:00:00 AM,F,FLORENCE,90
01/01/1922 12:00:00 AM,F,JEAN,81
01/01/1922 12:00:00 AM,F,MARION,76
01/01/1922 12:00:00 AM,F,KATHLEEN,69
01/01/1922 12:00:00 AM,F,MURIEL,69
01/01/1922 12:00:00 AM,F,EDITH,68
01/01/1922 12:00:00 AM,F,LILLIAN,67
01/01/1922 12:00:00 AM,F,MILDRED,63
01/01/1922 12:00:00 AM,F,MARJORIE,60
01/01/1922 12:00:00 AM,F,EVELYN,58
01/01/1923 12:00:00 AM,F,MARY,556
01/01/1923 12:00:00 AM,F,MARGARET,196
01/01/1923 12:00:00 AM,F,MARIE,164
01/01/1923 12:00:00 AM,F,DOROTHY,148
01/01/1923 12:00:00 AM,F,HELEN,126
01/01/1923 12:00:00 AM,F,JEAN,121
01/01/1923 12:00:00 AM,F,ANNIE,108
01/01/1923 12:00:00 AM,F,ELIZABETH,86
01/01/1923 12:00:00 AM,F,FLORENCE,86
01/01/1923 12:00:00 AM,F,RUTH,83
01/01/1923 12:00:00 AM,F,CATHERINE,74
01/01/1923 12:00:00 AM,F,MARJORIE,72
01/01/1923 12:00:00 AM,F,DORIS,70
01/01/1923 12:00:00 AM,F,EVELYN,69
01/01/1923 12:00:00 AM,F,LILLIAN,67
01/01/1923 12:00:00 AM,F,MARION,66
01/01/1923 12:00:00 AM,F,EDITH,57
01/01/1923 12:00:00 AM,F,FRANCES,54
01/01/1923 12:00:00 AM,F,ALICE,53
01/01/1923 12:00:00 AM,F,JESSIE,53
01/01/1924 12:00:00 AM,F,MARY,563
01/01/1924 12:00:00 AM,F,MARGARET,203
01/01/1924 12:00:00 AM,F,MARIE,154
01/01/1924 12:00:00 AM,F,DOROTHY,136
01/01/1924 12:00:00 AM,F,ANNIE,128
01/01/1924 12:00:00 AM,F,HELEN,124
01/01/1924 12:00:00 AM,F,JEAN,124
01/01/1924 12:00:00 AM,F,MARION,82
01/01/1924 12:00:00 AM,F,CATHERINE,78
01/01/1924 12:00:00 AM,F,DORIS,76
01/01/1924 12:00:00 AM,F,FLORENCE,76
01/01/1924 12:00:00 AM,F,ELIZABETH,71
01/01/1924 12:00:00 AM,F,MARJORIE,69
01/01/1924 12:00:00 AM,F,RUTH,66
01/01/1924 12:00:00 AM,F,EVELYN,60
01/01/1924 12:00:00 AM,F,ALICE,58
01/01/1924 12:00:00 AM,F,KATHLEEN,57
01/01/1924 12:00:00 AM,F,FRANCES,56
01/01/1924 12:00:00 AM,F,SHIRLEY,53
01/01/1924 12:00:00 AM,F,LILLIAN,50
01/01/1925 12:00:00 AM,F,MARY,628
01/01/1925 12:00:00 AM,F,MARGARET,231
01/01/1925 12:00:00 AM,F,HELEN,152
01/01/1925 12:00:00 AM,F,DOROTHY,139
01/01/1925 12:00:00 AM,F,MARIE,135
01/01/1925 12:00:00 AM,F,JEAN,113
01/01/1925 12:00:00 AM,F,ANNIE,110
01/01/1925 12:00:00 AM,F,FLORENCE,89
01/01/1925 12:00:00 AM,F,MARJORIE,85
01/01/1925 12:00:00 AM,F,CATHERINE,84
01/01/1925 12:00:00 AM,F,MARION,79
01/01/1925 12:00:00 AM,F,ELIZABETH,77
01/01/1925 12:00:00 AM,F,DORIS,75
01/01/1925 12:00:00 AM,F,SHIRLEY,75
01/01/1925 12:00:00 AM,F,ALICE,71
01/01/1925 12:00:00 AM,F,RUTH,70
01/01/1925 12:00:00 AM,F,LILLIAN,66
01/01/1925 12:00:00 AM,F,MURIEL,63
01/01/1925 12:00:00 AM,F,MILDRED,59
01/01/1925 12:00:00 AM,F,EVELYN,57
01/01/1926 12:00:00 AM,F,MARY,501
01/01/1926 12:00:00 AM,F,MARGARET,231
01/01/1926 12:00:00 AM,F,MARIE,148
01/01/1926 12:00:00 AM,F,HELEN,135
01/01/1926 12:00:00 AM,F,DOROTHY,122
01/01/1926 12:00:00 AM,F,ELIZABETH,108
01/01/1926 12:00:00 AM,F,ANNIE,103
01/01/1926 12:00:00 AM,F,JEAN,95
01/01/1926 12:00:00 AM,F,CATHERINE,91
01/01/1926 12:00:00 AM,F,MARION,88
01/01/1926 12:00:00 AM,F,ALICE,77
01/01/1926 12:00:00 AM,F,DORIS,75
01/01/1926 12:00:00 AM,F,FLORENCE,75
01/01/1926 12:00:00 AM,F,MARJORIE,74
01/01/1926 12:00:00 AM,F,EVELYN,72
01/01/1926 12:00:00 AM,F,FRANCES,67
01/01/1926 12:00:00 AM,F,SHIRLEY,67
01/01/1926 12:00:00 AM,F,RUTH,64
01/01/1926 12:00:00 AM,F,KATHLEEN,62
01/01/1926 12:00:00 AM,F,ANNA,54
01/01/1927 12:00:00 AM,F,MARY,522
01/01/1927 12:00:00 AM,F,MARGARET,193
01/01/1927 12:00:00 AM,F,MARIE,164
01/01/1927 12:00:00 AM,F,DOROTHY,129
01/01/1927 12:00:00 AM,F,HELEN,129
01/01/1927 12:00:00 AM,F,ANNIE,107
01/01/1927 12:00:00 AM,F,CATHERINE,102
01/01/1927 12:00:00 AM,F,ELIZABETH,100
01/01/1927 12:00:00 AM,F,JEAN,100
01/01/1927 12:00:00 AM,F,SHIRLEY,99
01/01/1927 12:00:00 AM,F,MARION,85
01/01/1927 12:00:00 AM,F,FLORENCE,84
01/01/1927 12:00:00 AM,F,DORIS,76
01/01/1927 12:00:00 AM,F,THERESA,69
01/01/1927 12:00:00 AM,F,MARJORIE,68
01/01/1927 12:00:00 AM,F,MILDRED,63
01/01/1927 12:00:00 AM,F,FRANCES,56
01/01/1927 12:00:00 AM,F,RUTH,55
01/01/1927 12:00:00 AM,F,ALICE,54
01/01/1927 12:00:00 AM,F,BARBARA,53
01/01/1928 12:00:00 AM,F,MARY,511
01/01/1928 12:00:00 AM,F,MARGARET,196
01/01/1928 12:00:00 AM,F,MARIE,155
01/01/1928 12:00:00 AM,F,HELEN,140
01/01/1928 12:00:00 AM,F,JEAN,121
01/01/1928 12:00:00 AM,F,SHIRLEY,118
01/01/1928 12:00:00 AM,F,ANNIE,116
01/01/1928 12:00:00 AM,F,DOROTHY,104
01/01/1928 12:00:00 AM,F,MARION,101
01/01/1928 12:00:00 AM,F,FLORENCE,98
01/01/1928 12:00:00 AM,F,CATHERINE,97
01/01/1928 12:00:00 AM,F,DORIS,80
01/01/1928 12:00:00 AM,F,RUTH,79
01/01/1928 12:00:00 AM,F,ELIZABETH,66
01/01/1928 12:00:00 AM,F,LILLIAN,61
01/01/1928 12:00:00 AM,F,AUDREY,60
01/01/1928 12:00:00 AM,F,MURIEL,60
01/01/1928 12:00:00 AM,F,MARJORIE,59
01/01/1928 12:00:00 AM,F,ALICE,56
01/01/1928 12:00:00 AM,F,MILDRED,52
01/01/1929 12:00:00 AM,F,MARY,474
01/01/1929 12:00:00 AM,F,MARGARET,174
01/01/1929 12:00:00 AM,F,MARIE,151
01/01/1929 12:00:00 AM,F,HELEN,122
01/01/1929 12:00:00 AM,F,SHIRLEY,120
01/01/1929 12:00:00 AM,F,JEAN,114
01/01/1929 12:00:00 AM,F,DOROTHY,111
01/01/1929 12:00:00 AM,F,ANNIE,106
01/01/1929 12:00:00 AM,F,ELIZABETH,101
01/01/1929 12:00:00 AM,F,DORIS,76
01/01/1929 12:00:00 AM,F,MARION,76
01/01/1929 12:00:00 AM,F,RUTH,74
01/01/1929 12:00:00 AM,F,CATHERINE,73
01/01/1929 12:00:00 AM,F,FRANCES,66
01/01/1929 12:00:00 AM,F,JOAN,66
01/01/1929 12:00:00 AM,F,LILLIAN,63
01/01/1929 12:00:00 AM,F,FLORENCE,61
01/01/1929 12:00:00 AM,F,AUDREY,55
01/01/1929 12:00:00 AM,F,MARJORIE,53
01/01/1929 12:00:00 AM,F,ALICE,51
01/01/1929 12:00:00 AM,F,JOYCE,51
01/01/1920 12:00:00 AM,M,JOHN,451
01/01/1920 12:00:00 AM,M,JOSEPH,303
01/01/1920 12:00:00 AM,M,JAMES,269
01/01/1920 12:00:00 AM,M,WILLIAM,269
01/01/1920 12:00:00 AM,M,GEORGE,247
01/01/1920 12:00:00 AM,M,CHARLES,150
01/01/1920 12:00:00 AM,M,ROBERT,142
01/01/1920 12:00:00 AM,M,DONALD,138
01/01/1920 12:00:00 AM,M,HAROLD,121
01/01/1920 12:00:00 AM,M,ARTHUR,111
01/01/1920 12:00:00 AM,M,THOMAS,102
01/01/1920 12:00:00 AM,M,EDWARD,80
01/01/1920 12:00:00 AM,M,GERALD,77
01/01/1920 12:00:00 AM,M,WALTER,77
01/01/1920 12:00:00 AM,M,GORDON,71
01/01/1920 12:00:00 AM,M,RALPH,69
01/01/1920 12:00:00 AM,M,ALBERT,62
01/01/1920 12:00:00 AM,M,KENNETH,62
01/01/1920 12:00:00 AM,M,DOUGLAS,61
01/01/1920 12:00:00 AM,M,RONALD,57
01/01/1921 12:00:00 AM,M,JOHN,490
01/01/1921 12:00:00 AM,M,JOSEPH,355
01/01/1921 12:00:00 AM,M,WILLIAM,279
01/01/1921 12:00:00 AM,M,JAMES,244
01/01/1921 12:00:00 AM,M,GEORGE,209
01/01/1921 12:00:00 AM,M,CHARLES,173
01/01/1921 12:00:00 AM,M,DONALD,165
01/01/1921 12:00:00 AM,M,ROBERT,156
01/01/1921 12:00:00 AM,M,ARTHUR,112
01/01/1921 12:00:00 AM,M,HAROLD,109
01/01/1921 12:00:00 AM,M,GERALD,90
01/01/1921 12:00:00 AM,M,EDWARD,87
01/01/1921 12:00:00 AM,M,THOMAS,87
01/01/1921 12:00:00 AM,M,RONALD,69
01/01/1921 12:00:00 AM,M,GORDON,68
01/01/1921 12:00:00 AM,M,WALTER,67
01/01/1921 12:00:00 AM,M,DOUGLAS,66
01/01/1921 12:00:00 AM,M,KENNETH,66
01/01/1921 12:00:00 AM,M,RALPH,66
01/01/1921 12:00:00 AM,M,ALBERT,65
01/01/1922 12:00:00 AM,M,JOHN,456
01/01/1922 12:00:00 AM,M,JOSEPH,320
01/01/1922 12:00:00 AM,M,JAMES,279
01/01/1922 12:00:00 AM,M,WILLIAM,259
01/01/1922 12:00:00 AM,M,DONALD,191
01/01/1922 12:00:00 AM,M,GEORGE,187
01/01/1922 12:00:00 AM,M,CHARLES,169
01/01/1922 12:00:00 AM,M,ROBERT,152
